Economo_atlas,thickness_layer1,thickness_layer2,thickness_layer3,thickness_layer4,thickness_layer5,thickness_layer6,total_thickness,percentage_layer1,percentage_layer2,percentage_layer3,percentage_layer4,percentage_layer5,percentage_layer6
-1.0,0.1960654057662804,0.1899691384502565,0.32629640120911246,0.09642604873692787,0.23890113706842353,0.3522058217290524,1.364295577970942,,,,0.08997489000572019,,
2.0,0.290219523336095,0.24315102554542944,0.8232919418668876,0.1673884617647059,0.662299137213477,0.7173858005385253,2.8660265258215962,0.10440999030040722,0.08711519052174754,0.2876869907756182,0.05957841746658382,0.22695053664747009,0.2458806850554692
3.0,0.30808412513377925,0.23807783348662206,0.8082305777591974,0.15433405789381272,0.6966643303344481,0.677533552132107,2.8769407826086955,0.10920516640766832,0.08459762454439598,0.28178533951850415,0.05394725423864661,0.23843734833545172,0.23295379670620583
4.0,0.31341191385298345,0.23144571830526178,0.7675937456587022,0.15772142748400572,0.6296824115419767,0.6145776635983811,2.7252134221177697,0.11691012325958143,0.08616059316175752,0.28202102385792616,0.05783873721325016,0.22829926388415106,0.2236131480933048
5.0,0.31219197939306353,0.22677109708092485,0.779445139017341,0.1835687037283237,0.6471684430635838,0.664411024566474,2.812443867052023,0.11296798468261475,0.0812802784674152,0.2779283546538613,0.06490251623727693,0.22745750266591488,0.23404796370681896
6.0,0.2864014523893075,0.2187000174631025,0.6955784362576117,0.17909433677882136,0.5453045063474042,0.6072831998142223,2.527817084838477,0.11478880109014777,0.08770551628785284,0.2735290793998306,0.07260856932829016,0.21334464149578158,0.23869936307504858
7.0,0.2770644438983051,0.21239027062146892,0.6705376337853107,0.17962385903954803,0.5363852101694916,0.6161451652542373,2.486245011299435,0.11237699362803562,0.08680025298273712,0.2685670718774541,0.07336476667590049,0.2148752805020935,0.2454007052946193
8.0,0.3013304346153846,0.22929373684210527,0.7897527902834008,0.18263338874493926,0.6230151085020244,0.6465808174089069,2.7677487611336034,0.1095429242369115,0.08300199668999081,0.28532845828861003,0.06550593806563271,0.22474910365950873,0.2329544656716273
9.0,0.26961924993444053,0.20341681850961538,0.6623098731643358,0.1901924065777972,0.5364546951486013,0.5642332368881119,2.41773609375,0.11322382208527611,0.08463138315754302,0.2725949721139844,0.07947123218728384,0.2205096125055248,0.23163663331865925
10.0,0.27608863047146404,0.21839570694789082,0.7266829461538462,0.15998045526964436,0.5818304019851117,0.6418706186931349,2.6059191464019853,0.10738206084849625,0.08438318137835703,0.27821244904576264,0.06146874811057248,0.22191588380464888,0.24505067618559467
11.0,0.26987292307692307,0.21577688536953243,0.6106836168929111,0.14878372473604826,0.45614176621417796,0.4936753325791855,2.184490331825038,0.1253677426510589,0.10038210227113435,0.2774590988128543,0.06828082839781849,0.207780776777887,0.22537892696406003
