DKT_atlas,thickness_layer1,thickness_layer2,thickness_layer3,thickness_layer4,thickness_layer5,thickness_layer6,total_thickness,percentage_layer1,percentage_layer2,percentage_layer3,percentage_layer4,percentage_layer5,percentage_layer6
0.0,0.18839584216965738,0.18581478779216398,0.3002225259572805,0.0910120420270188,0.21656223504262878,0.33334006286163875,1.3197449066340545,,,,0.09087977928995103,,
2.0,0.31259991784675834,0.23334493153634578,0.6967777246679764,0.12553841364489196,0.6033761806404715,0.6196224724165029,2.513692248447937,0.12994874557349362,0.09814280288802085,0.2781287249086604,0.05008445704310571,0.23505856984508716,0.24940129204388264
3.0,0.2999288101937658,0.2389794844987363,0.8034782186183657,0.16881575373420388,0.6771083584245998,0.6637278385636057,2.8504849747262004,0.10658411374647227,0.08545666075992786,0.2832726951352824,0.05938792379267004,0.2344243401633344,0.2302751121683612
5.0,0.24790437270415372,0.21395590392766317,0.6093598078553263,0.22114203944617122,0.4301704214467364,0.43123724809268155,2.169533806159932,0.11568755199614524,0.09962995321738553,0.2815897664828099,0.10316989815845043,0.19553448750858177,0.19627446969435045
6.0,0.2851510113122172,0.269836407239819,0.8919948416289594,0.18492358371040724,0.6386824954751131,0.5742785678733032,2.81758814479638,0.10144170103559667,0.0967162751046575,0.3158999095264293,0.06542157660459472,0.22500199207290628,0.2034629864734088
7.0,0.29192056636422553,0.2577287646359905,0.7704454845538993,0.265848073860445,0.6028571965867358,0.5930423551523006,2.7913058608770793,0.10597486368593641,0.09313789662976296,0.27669683093291314,0.09509683009746911,0.21388271469602357,0.21080791657580922
8.0,0.28920169692425995,0.2589111856337306,0.80077276816609,0.24719797700884275,0.5817920312700243,0.5905463407663718,2.7805903780597205,0.1051325781237054,0.09354472240630202,0.2888419615150837,0.08907213882615733,0.20756696485954157,0.21057531838211774
9.0,0.29575762571756803,0.2547406748851184,0.764005375379993,0.2340351815411806,0.5850468135189113,0.5929475152439024,2.7301544024390245,0.11024169077218914,0.09425651274923721,0.27930477529116793,0.08584630752292642,0.2112760745054668,0.21709813347743076
10.0,0.2691067823387583,0.20743367992766726,0.6999378942133815,0.15547082142857144,0.5633370783001808,0.5823401091018686,2.431563456901748,0.11575142208378206,0.0876813889849485,0.2879056607610198,0.06334000594739451,0.22913401356170268,0.23843428353058335
11.0,0.2701101984642473,0.2310742286999902,0.6714274859630246,0.23914757187909616,0.4607970698914213,0.48334989112784893,2.365884199354397,0.116235200234376,0.09872264847655697,0.28496511800686225,0.10191389530295945,0.19090921031438976,0.20242659877949826
12.0,0.26586558652291103,0.21181523980233605,0.7178733704941599,0.16238138592991913,0.570920464690027,0.6165034571428571,2.542685707996406,0.10604909142944614,0.08382064939525798,0.28135856571391826,0.06425857971849476,0.22287039915980128,0.24125215594119065
13.0,0.2518775211059908,0.20931697972350233,0.5926571885560676,0.30817480581797235,0.4010284279953917,0.41546944738863284,2.1915267703533026,0.11660322903091423,0.09609878231813633,0.2705861318611919,0.14208339859631183,0.18036120903905584,0.18764561984045228
14.0,0.27818454365125805,0.22125886059098887,0.6474765069631363,0.17473826500877707,0.49904325482738443,0.5266771774429491,2.3398347571679343,0.12054727604299717,0.09523085652494052,0.27572285419135273,0.07488496657301454,0.21220031574483011,0.22400136747181795
15.0,0.312174897827232,0.2771222978404003,0.8280287683697656,0.2682373969094021,0.6637364115880958,0.656465959915723,3.0042801757966817,0.10558080181595529,0.09364689058743438,0.2764545270212446,0.0896297745578565,0.21810208358954006,0.21665075434807093
16.0,0.3512675764122894,0.2843525005946481,0.7900894995044598,0.20548733795837462,0.4889848800792864,0.4889520961347869,2.631634261645193,0.13623631193953215,0.10999117991489459,0.2991359940947913,0.07871624428045712,0.18280621624402538,0.18375782046552563
17.0,0.2697045085014886,0.22343646361230565,0.6992074978498182,0.17110690588819055,0.532592150843533,0.5697073671849157,2.4617994045650016,0.11218973890845364,0.09248787429927618,0.2848703030518072,0.07006078316759348,0.21344537612430126,0.22788361983055005
18.0,0.31773374284462613,0.2295754487441589,0.7897719818925234,0.18497063533878505,0.6545217520443926,0.6667881372663551,2.840898370327103,0.11388341796642337,0.08132497253391612,0.27886411956744617,0.06457915401168224,0.22787656101811218,0.23276282060012507
19.0,0.2822115154032747,0.22437092237719833,0.7416690970285021,0.18028611412977563,0.5976453765918739,0.6717008969072165,2.695975736810188,0.10595003675554941,0.08387925049284245,0.27451418076780976,0.06728792457053022,0.2206015517341094,0.24777293245386497
20.0,0.29579443820391227,0.22438897317723772,0.7539906524896266,0.1786590014241257,0.6003185515708358,0.6370560266745702,2.6910704623592174,0.1109482118528237,0.08377120620767708,0.2794585998756624,0.06590357203786519,0.22255824178880765,0.2362558975266849
