BN_atlas,thickness_layer1,thickness_layer2,thickness_layer3,thickness_layer4,thickness_layer5,thickness_layer6,total_thickness,percentage_layer1,percentage_layer2,percentage_layer3,percentage_layer4,percentage_layer5,percentage_layer6
179.0,0.3009570412844037,0.23971121597859324,0.6797253845565748,0.1285176599388379,0.5793760873853211,0.6258762813455657,2.543000749235474,0.12077464265443445,0.09620254163195137,0.26718411143766857,0.050969932118099574,0.22320903473693637,0.2453189908431385
180.0,0.3009570412844037,0.23971121597859324,0.6797253845565748,0.1285176599388379,0.5793760873853211,0.6258762813455657,2.543000749235474,0.12077464265443445,0.09620254163195137,0.26718411143766857,0.050969932118099574,0.22320903473693637,0.2453189908431385
181.0,0.2576121682419035,0.1903203825776603,0.5687454115350298,0.12929700462656973,0.45015254728023796,0.5211921795571711,2.0189827425644413,0.1410858939018341,0.10843797951636114,0.25408589292386463,0.0608123341528314,0.20278020524874707,0.2827754523241976
182.0,0.2576121682419035,0.1903203825776603,0.5687454115350298,0.12929700462656973,0.45015254728023796,0.5211921795571711,2.0189827425644413,0.1410858939018341,0.10843797951636114,0.25408589292386463,0.0608123341528314,0.20278020524874707,0.2827754523241976
183.0,0.30512037007874016,0.23311337992125986,0.7032515541338582,0.1387282379429134,0.5861143818897637,0.6325629783464567,2.5837609842519687,0.12044935345314013,0.09232976550808196,0.2725521833716774,0.05327082157838461,0.22397262336898396,0.24244662777936254
184.0,0.30512037007874016,0.23311337992125986,0.7032515541338582,0.1387282379429134,0.5861143818897637,0.6325629783464567,2.5837609842519687,0.12044935345314013,0.09232976550808196,0.2725521833716774,0.05327082157838461,0.22397262336898396,0.24244662777936254
185.0,0.2768682313137373,0.2260901799640072,0.6702189640071985,0.1666861371325735,0.4819112783443311,0.5180060155968806,2.3477292921415716,0.11997134329272569,0.09777201590375162,0.28714515787002104,0.07126703209082548,0.20327382126054633,0.21653308068436533
186.0,0.2768682313137373,0.2260901799640072,0.6702189640071985,0.1666861371325735,0.4819112783443311,0.5180060155968806,2.3477292921415716,0.11997134329272569,0.09777201590375162,0.28714515787002104,0.07126703209082548,0.20327382126054633,0.21653308068436533
187.0,0.31259260346124906,0.2641034018058691,0.7074845771256584,0.17169174462001505,0.5572696538750941,0.6016132787810384,2.549743829947329,0.12478429721932163,0.10434138555979391,0.2786921243695799,0.06696935768062523,0.21710916463773158,0.23645753514994142
188.0,0.31259260346124906,0.2641034018058691,0.7074845771256584,0.17169174462001505,0.5572696538750941,0.6016132787810384,2.549743829947329,0.12478429721932163,0.10434138555979391,0.2786921243695799,0.06696935768062523,0.21710916463773158,0.23645753514994142
189.0,0.24255115413851353,0.21980177449324323,0.615354597972973,0.25516733319256757,0.40476250084459464,0.3871518310810811,2.1421855236486484,0.11479499857482138,0.10253575831323987,0.2872746866423445,0.1205119488937017,0.1870303502503225,0.17994027373909707
190.0,0.24255115413851353,0.21980177449324323,0.615354597972973,0.25516733319256757,0.40476250084459464,0.3871518310810811,2.1421855236486484,0.11479499857482138,0.10253575831323987,0.2872746866423445,0.1205119488937017,0.1870303502503225,0.17994027373909707
191.0,0.24390150466200464,0.1936395363247863,0.5604930439005439,0.3782831116938617,0.3448653815073815,0.38374581701631705,2.1091098135198134,0.11728127559360475,0.09310977685553927,0.2676615417856619,0.17580220785262687,0.16241136351534444,0.1802779546223072
192.0,0.24390150466200464,0.1936395363247863,0.5604930439005439,0.3782831116938617,0.3448653815073815,0.38374581701631705,2.1091098135198134,0.11728127559360475,0.09310977685553927,0.2676615417856619,0.17580220785262687,0.16241136351534444,0.1802779546223072
193.0,0.2537559504946997,0.16985933803003533,0.5228429271201414,0.4737480300795053,0.32804054019434625,0.4075528648409894,2.162101294169611,0.11860496205976107,0.07977266481682116,0.243549283120769,0.21316013444942544,0.15261050030841905,0.1885056029188364
194.0,0.2537559504946997,0.16985933803003533,0.5228429271201414,0.4737480300795053,0.32804054019434625,0.4075528648409894,2.162101294169611,0.11860496205976107,0.07977266481682116,0.243549283120769,0.21316013444942544,0.15261050030841905,0.1885056029188364
195.0,0.26104490646420825,0.23131841404555314,0.641974295010846,0.26736077386117135,0.465747613340564,0.4717887895878525,2.357523953362256,0.1121811904776682,0.09904428979975956,0.27254263354368297,0.11459437898672276,0.19557036382176277,0.19808497889942364
196.0,0.26104490646420825,0.23131841404555314,0.641974295010846,0.26736077386117135,0.465747613340564,0.4717887895878525,2.357523953362256,0.1121811904776682,0.09904428979975956,0.27254263354368297,0.11459437898672276,0.19557036382176277,0.19808497889942364
197.0,0.26974717835281026,0.19587380050083475,0.5777338750695604,0.33739482832498613,0.40766064329437957,0.4412313989983306,2.2351933945464664,0.12238491289841226,0.08801123336282096,0.2572945745225493,0.15511278173197826,0.1787721283653837,0.19422415287180012
198.0,0.26974717835281026,0.19587380050083475,0.5777338750695604,0.33739482832498613,0.40766064329437957,0.4412313989983306,2.2351933945464664,0.12238491289841226,0.08801123336282096,0.2572945745225493,0.15511278173197826,0.1787721283653837,0.19422415287180012
199.0,0.2859851681768757,0.2545725480246466,0.7156798858281986,0.2336471328379848,0.5066003185936934,0.4971817915911562,2.51560628851033,0.11600028474393899,0.10264756482115239,0.2860566112070283,0.0933094904919644,0.19787406900483784,0.1946075773323837
200.0,0.2859851681768757,0.2545725480246466,0.7156798858281986,0.2336471328379848,0.5066003185936934,0.4971817915911562,2.51560628851033,0.11600028474393899,0.10264756482115239,0.2860566112070283,0.0933094904919644,0.19787406900483784,0.1946075773323837
201.0,0.2973494585605234,0.25968804143947655,0.7584940796074156,0.2502270667938931,0.5574340207197382,0.553905707742639,2.688065348964013,0.112418672699476,0.09786139358240335,0.2834237498810902,0.0937746434886496,0.20414664971857077,0.20332466888475664
202.0,0.2973494585605234,0.25968804143947655,0.7584940796074156,0.2502270667938931,0.5574340207197382,0.553905707742639,2.688065348964013,0.112418672699476,0.09786139358240335,0.2834237498810902,0.0937746434886496,0.20414664971857077,0.20332466888475664
203.0,0.25312046501650165,0.20036233448844884,0.6081992726072608,0.232271841359736,0.38269269669966993,0.4556403702970297,2.134164775577558,0.1202248103091125,0.09545196642610977,0.28594798374794783,0.10746354222088299,0.17650034994230346,0.21230707971003293
