,atlas_x,Hemisphere,Lobe,Thickness at 10y.o.,Thickness at 80y.o.,Curvature,Layer I thickness,Layer II thickness,Layer III thickness,Layer IV thickness,Layer V thickness,Layer VI thickness,bigbrain_layer_1,bigbrain_layer_2,bigbrain_layer_3,bigbrain_layer_4,bigbrain_layer_5,bigbrain_layer_6,Global thinning,Global thinning normalized,structure,r2_spatial,r2_temporal,r2_complete,structure_name,atlas_y
19,22.0,1.0,3.0,3.18,2.42,1.9074161,0.2933843,0.24824825,0.8011648,0.21439621,0.5980526,0.6206206,0.10569106,0.08943089,0.28861788,0.07723577,0.21544716,0.22357723,0.76,0.2389937,22.0,0.738419004913462,0.8906866176508934,0.9595498093209964,Dorsal Posterior Cingulate Area,22.0
20,23.0,0.0,3.0,3.6,2.77,-0.6727386,0.33073598,0.26948857,0.90646154,0.19599168,0.71046984,0.73496884,0.10505836,0.08560311,0.28793773,0.062256806,0.22568092,0.23346302,0.8299999,0.23055553,23.0,-0.01,0.8282804597863103,0.6546595598363356,Ventral Posterior Cingulate Area,23.0
21,23.0,1.0,3.0,3.03,2.81,-1.5403349,0.30107653,0.2453216,0.8251727,0.17841573,0.646757,0.6690589,0.10505836,0.08560311,0.28793773,0.062256806,0.22568092,0.23346302,0.22000003,0.07260727,23.0,-0.01,0.8282804597863103,0.6546595598363356,Ventral Posterior Cingulate Area,23.0
22,24.0,0.0,3.0,2.26,2.04,0.32302886,0.2002017,0.15215328,0.62462926,0.08808874,0.592597,0.58458894,0.08928572,0.067857146,0.27857143,0.039285716,0.2642857,0.2607143,0.22000003,0.09734514,24.0,-0.01,-0.01,-0.01,Posterior Limitans Cingulate Area,24.0
23,24.0,1.0,3.0,2.3,2.07,0.06618381,0.20387214,0.15494284,0.63608104,0.089703746,0.60346156,0.5953067,0.08928571,0.067857146,0.27857143,0.039285716,0.2642857,0.2607143,0.23000002,0.10000001,24.0,-0.01,-0.01,-0.01,Posterior Limitans Cingulate Area,24.0
24,25.0,0.0,3.0,3.03,2.52,-2.7664342,0.3068923,0.21920879,0.74530995,0.1644066,0.56994283,0.55898243,0.11965813,0.08547009,0.2905983,0.06410257,0.22222224,0.21794872,0.51,0.16831683,25.0,0.4205275101211232,0.7076144471128425,0.8125527581270171,Angranular Retrosplenial Area,25.0
25,25.0,1.0,3.0,2.89,1.93,-1.2617807,0.28754228,0.20538735,0.698317,0.15404052,0.53400713,0.5237377,0.11965813,0.08547009,0.2905983,0.06410257,0.22222224,0.21794872,0.96000016,0.33217996,25.0,0.4205275101211232,0.7076144471128425,0.8125527581270171,Angranular Retrosplenial Area,25.0
26,27.0,0.0,4.0,2.29,1.8300002,-0.41494864,0.23518892,0.20805173,0.597018,0.20805173,0.4070577,0.41610345,0.11353712,0.10043667,0.28820962,0.10043667,0.19650654,0.20087335,0.4599998,0.20087329,27.0,0.38095594755242435,0.8495554372367158,0.7279573085712776,Peristriate Occipital Area ,27.0
27,27.0,1.0,4.0,2.37,1.9100001,-1.1576717,0.24213462,0.21419601,0.6146495,0.21419601,0.41907915,0.42839202,0.11353712,0.10043667,0.28820962,0.10043667,0.19650654,0.20087335,0.4599998,0.19409275,27.0,0.38095594755242435,0.8495554372367158,0.7279573085712776,Peristriate Occipital Area ,27.0
28,28.0,0.0,4.0,1.95,1.74,-3.1526642,0.20907143,0.17271116,0.5090434,0.2545217,0.34542233,0.39087266,0.11111112,0.09178744,0.2705314,0.1352657,0.18357489,0.20772949,0.21000004,0.10769232,28.0,-0.01,-0.01,-0.01,Parastriate Occipital Area ,28.0
29,28.0,1.0,4.0,2.06,1.9199998,-4.014847,0.21722054,0.17944306,0.52888477,0.26444238,0.35888612,0.40610796,0.11111112,0.09178744,0.2705314,0.1352657,0.18357489,0.20772949,0.1400001,0.067961216,28.0,-0.01,-0.01,-0.01,Parastriate Occipital Area ,28.0
30,29.0,0.0,4.0,1.96,1.55,3.7795491,0.20864256,0.13909504,0.4250126,0.37092012,0.27046257,0.3245551,0.11999999,0.08,0.24444444,0.21333334,0.15555556,0.18666667,0.4100001,0.20918371,29.0,0.2136020335826172,0.32316337485258073,0.5287906258654496,Striate Occipital Area ,29.0
31,29.0,1.0,4.0,1.9100001,1.61,1.9966139,0.20848235,0.13898823,0.42468628,0.37063533,0.2702549,0.3243059,0.11999999,0.08,0.24444444,0.21333334,0.15555556,0.18666667,0.30000007,0.15706809,29.0,0.2136020335826172,0.32316337485258073,0.5287906258654496,Striate Occipital Area ,29.0
32,3.0,0.0,1.0,3.07,2.43,0.3107528,0.2927335,0.22663239,0.7648843,0.15108827,0.67045414,0.64212507,0.1065292,0.082474224,0.2783505,0.05498282,0.24398625,0.23367698,0.63999987,0.20846902,3.0,0.7264886545424296,0.5817236233231149,0.8614857414661481,Agranular Frontal Area,3.0
33,3.0,1.0,1.0,2.98,2.41,0.82256734,0.2874594,0.22254923,0.7511036,0.14836615,0.6583748,0.6305561,0.1065292,0.082474224,0.2783505,0.05498282,0.24398625,0.23367698,0.56999993,0.19127515,3.0,0.7264886545424296,0.5817236233231149,0.8614857414661481,Agranular Frontal Area,3.0
34,30.0,0.0,5.0,2.28,1.85,3.4221718,0.24940476,0.1959609,0.58788264,0.17814626,0.38301447,0.42755103,0.12334802,0.0969163,0.2907489,0.08810572,0.18942732,0.21145375,0.42999995,0.18859647,30.0,0.47078043863201535,0.9388542105092299,0.9382585887343914,Postcentral-Postparacentral Giant Pyrimidal Area,30.0
35,30.0,1.0,5.0,2.25,1.86,5.1717963,0.24989915,0.19634935,0.589048,0.17849939,0.3837737,0.42839855,0.12334802,0.0969163,0.2907489,0.08810572,0.18942732,0.21145375,0.39,0.17333333,30.0,0.47078043863201535,0.9388542105092299,0.9382585887343914,Postcentral-Postparacentral Giant Pyrimidal Area,30.0
36,31.0,0.0,5.0,1.85,1.52,-1.6050522,0.20544223,0.16875611,0.48425668,0.14674446,0.3521867,0.3815356,0.11814346,0.09704641,0.278481,0.08438819,0.20253165,0.2194093,0.33000004,0.1783784,31.0,-0.01,-0.01,0.7971767022460544,Oral Postcentral Area Simplex-Granulosa,31.0
37,31.0,1.0,5.0,1.65,1.44,1.3092035,0.18585522,0.15266679,0.4380873,0.13275374,0.31860894,0.3451597,0.11814346,0.09704641,0.278481,0.08438819,0.20253165,0.2194093,0.20999992,0.12727268,31.0,-0.01,-0.01,0.7971767022460544,Oral Postcentral Area Simplex-Granulosa,31.0
38,32.0,0.0,5.0,2.46,2.02,-3.6216788,0.23910818,0.20494989,0.6148496,0.19641028,0.52091426,0.546533,0.10294118,0.0882353,0.2647059,0.08455882,0.22426471,0.23529413,0.44000006,0.17886181,32.0,-0.01,-0.01,-0.01,Intermediate Postcentral Area,32.0
39,32.0,1.0,5.0,2.34,2.04,-4.8539715,0.23209849,0.19894156,0.5968247,0.19065233,0.5056431,0.5305108,0.10294118,0.0882353,0.2647059,0.08455882,0.22426471,0.23529413,0.29999995,0.1282051,32.0,-0.01,-0.01,-0.01,Intermediate Postcentral Area,32.0
40,33.0,0.0,5.0,2.58,1.9800001,5.41151,0.25185484,0.20987901,0.6548225,0.18469355,0.45333868,0.470129,0.11320754,0.094339624,0.29433963,0.08301887,0.20377359,0.21132076,0.5999998,0.23255806,33.0,0.5095629845345615,0.8752922294980046,0.9438849327388257,Caudal Postcentral Area,33.0
41,33.0,1.0,5.0,2.51,1.97,3.8372123,0.24891333,0.20742777,0.64717466,0.18253644,0.44804397,0.46463817,0.11320754,0.094339624,0.29433963,0.08301887,0.20377359,0.21132076,0.53999996,0.21513943,33.0,0.5095629845345615,0.8752922294980046,0.9438849327388257,Caudal Postcentral Area,33.0
42,34.0,0.0,5.0,2.68,2.13,-0.9477273,0.25094262,0.22405589,0.67216766,0.21509366,0.49292296,0.50188524,0.10646387,0.09505703,0.2851711,0.091254756,0.20912547,0.21292774,0.54999995,0.20522386,34.0,0.5148943510865549,0.965679161661617,0.9840356237935693,Superior Parietal Area,34.0
43,34.0,1.0,5.0,2.69,2.07,-1.1711781,0.2543792,0.22712429,0.6813729,0.21803935,0.49967346,0.5087584,0.10646387,0.09505703,0.2851711,0.091254756,0.20912547,0.21292774,0.6200001,0.23048331,34.0,0.5148943510865549,0.965679161661617,0.9840356237935693,Superior Parietal Area,34.0
44,35.0,0.0,5.0,3.05,2.38,0.024267565,0.30356142,0.23916963,0.7451054,0.2115731,0.5887252,0.597924,0.1130137,0.0890411,0.27739727,0.07876712,0.21917808,0.22260275,0.66999984,0.21967208,35.0,0.7481471768090386,0.9139371407473951,0.9740744667184323,Supramarginal Area,35.0
45,35.0,1.0,5.0,2.96,2.29,1.0844513,0.29832575,0.23504452,0.73225415,0.20792398,0.57857114,0.5876113,0.1130137,0.0890411,0.27739727,0.07876712,0.21917808,0.22260275,0.6700001,0.22635138,35.0,0.7481471768090386,0.9139371407473951,0.9740744667184323,Supramarginal Area,35.0
46,36.0,0.0,5.0,2.89,2.35,-0.07992,0.27126008,0.24319871,0.74830365,0.22449112,0.54252017,0.551874,0.10507246,0.0942029,0.28985506,0.08695652,0.21014492,0.2137681,0.5400002,0.18685128,36.0,0.4541325874482921,0.8574862228376472,0.9187780439784202,Angular Area,36.0
47,36.0,1.0,5.0,2.93,2.25,-0.24570522,0.27323684,0.24497096,0.7537568,0.22612706,0.5464737,0.5558957,0.10507246,0.0942029,0.28985506,0.08695652,0.21014492,0.2137681,0.68000007,0.23208193,36.0,0.4541325874482921,0.8574862228376472,0.9187780439784202,Angular Area,36.0
48,37.0,0.0,5.0,2.75,2.22,0.13400301,0.27133355,0.24326459,0.7017247,0.24326459,0.51459813,0.51459813,0.10902256,0.09774436,0.28195488,0.09774436,0.20676692,0.20676692,0.53,0.19272727,37.0,-0.01,0.9676672760443911,0.9393117640251981,Basal temporo-occipital parietal area,37.0
49,37.0,1.0,5.0,2.79,2.17,0.8388797,0.274862,0.24642797,0.7108499,0.24642797,0.52128994,0.52128994,0.10902256,0.09774436,0.28195488,0.09774436,0.20676692,0.20676692,0.6199999,0.22222218,37.0,-0.01,0.9676672760443911,0.9393117640251981,Basal temporo-occipital parietal area,37.0
50,38.0,0.0,6.0,3.27,2.44,-2.821031,0.30954748,0.2532661,0.80669945,0.21574521,0.6659961,0.6097147,0.10819672,0.08852459,0.28196722,0.07540984,0.23278686,0.21311477,0.8299999,0.2538226,38.0,0.409884459499707,0.6948036197010465,0.7958660545636624,Superior Temporal Area,38.0
51,38.0,1.0,6.0,3.2100003,2.49,-1.0488279,0.3077585,0.2518024,0.8020374,0.21449837,0.6621471,0.60619104,0.10819672,0.08852459,0.28196722,0.07540984,0.23278686,0.21311477,0.72000027,0.22429913,38.0,0.409884459499707,0.6948036197010465,0.7958660545636624,Superior Temporal Area,38.0
52,39.0,0.0,6.0,2.88,1.9800001,5.39712,0.29586846,0.21978799,0.6593639,0.19442783,0.5579234,0.56637675,0.11864407,0.08813559,0.26440677,0.0779661,0.22372882,0.22711864,0.9,0.31249997,39.0,-0.01,0.4093292771385071,0.5825499665075273,Supratemporal Area Simplex,39.0
53,39.0,1.0,6.0,2.96,2.16,2.6602855,0.30530706,0.22679953,0.6803986,0.20063035,0.57572186,0.5844449,0.11864407,0.08813559,0.26440677,0.0779661,0.22372882,0.22711864,0.79999995,0.27027026,39.0,-0.01,0.4093292771385071,0.5825499665075273,Supratemporal Area Simplex,39.0
54,4.0,0.0,1.0,3.11,2.45,-0.5474593,0.31879118,0.22913115,0.7770535,0.15939559,0.64754456,0.62762016,0.11552347,0.08303249,0.28158844,0.057761736,0.23465702,0.22743683,0.65999985,0.21221861,4.0,0.7471004421078644,0.8624234069499237,0.8548737976641181,Intermediate Frontal Area,4.0
55,4.0,1.0,1.0,3.01,2.42,-0.012986081,0.30853435,0.22175908,0.7520525,0.15426718,0.6267104,0.60742706,0.11552347,0.08303249,0.28158844,0.057761736,0.23465702,0.22743683,0.5899999,0.19601326,4.0,0.7471004421078644,0.8624234069499237,0.8548737976641181,Intermediate Frontal Area,4.0
56,40.0,0.0,6.0,2.85,1.8700001,4.1101174,0.28615457,0.2081124,0.6330086,0.17342702,0.56363785,0.55496645,0.11827956,0.086021505,0.26164874,0.07168459,0.23297492,0.2293907,0.9799998,0.34385958,40.0,0.6754026518310898,0.9475258395484556,0.9380893036065648,Supratempral Area Granulosa,40.0
57,40.0,1.0,6.0,2.75,1.93,4.7103186,0.2791771,0.20303789,0.61757356,0.16919824,0.5498943,0.5414344,0.11827956,0.086021505,0.26164874,0.07168459,0.23297492,0.2293907,0.82000005,0.29818183,40.0,0.6754026518310898,0.9475258395484556,0.9380893036065648,Supratempral Area Granulosa,40.0
